OrderHash,Block,Action,Price,Quantity,OrderType,Subaccount
0x2f1948b8,1,EVENT_NEW,50047.42,9,BUY,51
0x30317ff7,1,EVENT_NEW,50044.14,8,SELL,52
0x1b92305,1,EVENT_NEW,50043.61,5,BUY,54
0x8d9e75a,1,EVENT_NEW,49976.47,2,BUY_CANCEL,55
0xebedb96,1,EVENT_NEW,49962.64,5,SELL,56
0x1d3c718b,1,EVENT_NEW,50045.99,2,SELL,57
0x1f2d1e44,1,EVENT_NEW,49996.56,7,BUY,58
0x1e4d8edd,1,EVENT_NEW,49991.71,4,BUY,59
0x487bb8f,1,EVENT_NEW,50025.05,7,BUY,60
0x13425109,1,EVENT_NEW,49964.39,1,BUY_CANCEL,61
0x205819f4,1,EVENT_NEW,49955.19,4,SELL,63
0x17ced07d,1,EVENT_NEW,50033.62,4,SELL,67
0x1509df21,1,EVENT_NEW,50026.77,8,SELL_CANCEL,69
0x1f1bcd07,1,EVENT_NEW,49997.38,4,BUY,70
0x3454cc44,1,EVENT_NEW,49995.45,6,SELL,72
0xeb8dfd0,1,EVENT_NEW,49970.84,4,SELL_CANCEL,73
0x8a19296,1,EVENT_NEW,50005.48,5,SELL,74
0x33b7523,1,EVENT_NEW,49981.49,5,SELL_CANCEL,76
0xb3d2e4c,1,EVENT_NEW,50017.72,4,SELL,77
0x37b942a,1,EVENT_NEW,49998.7,1,SELL,78
0x29266120,1,EVENT_NEW,49962.71,5,SELL,80
0x39602bc,1,EVENT_NEW,50025.36,1,SELL,81
0xdb9f0d5,1,EVENT_NEW,50012.14,1,SELL,82
0x3a5e0644,1,EVENT_NEW,49987.09,7,SELL,85
0x26f28cd8,1,EVENT_NEW,50012.12,8,SELL,86
0x31c435c9,1,EVENT_NEW,49997.01,10,BUY,87
0x2a55b4ae,1,EVENT_NEW,50040.05,7,SELL_CANCEL,88
0xfa60c1e,1,EVENT_NEW,50029.24,8,SELL,89
0x144f6be8,1,EVENT_NEW,50036.56,3,SELL,90
0x20807efe,1,EVENT_NEW,50002.63,2,SELL,91
0x19218b3d,1,EVENT_NEW,49981.48,2,SELL,92
0x2559052e,1,EVENT_NEW,50031.14,4,SELL_CANCEL,93
0x31b4d2cb,1,EVENT_NEW,49975.04,10,SELL,94
0x2cbe5fdd,1,EVENT_NEW,49970.18,5,SELL,95
0xa677451,1,EVENT_NEW,50025.45,10,SELL,96
0x138c2d0,1,EVENT_NEW,50044.45,6,BUY,97
0xb76afe5,1,EVENT_NEW,49990.99,7,SELL,98
0x833ebd2,1,EVENT_NEW,49989.23,10,BUY,99
0x2d0f1122,2,EVENT_NEW,49973.68,6,BUY,0
0x19119ef4,2,EVENT_NEW,49957.06,2,SELL,2
0x28468119,2,EVENT_NEW,49960.6,4,BUY,3
0x16b0ec2b,2,EVENT_NEW,49951.57,2,SELL_CANCEL,4
0xb8befe0,2,EVENT_NEW,50032.15,10,SELL,6
0x8dc4e14,2,EVENT_NEW,49960.37,1,SELL,7
0xb1ffac,2,EVENT_NEW,50037.25,6,SELL,8
0x1089d7b7,2,EVENT_NEW,50026.46,6,BUY,12
0xd2a86ab,2,EVENT_NEW,50020.67,5,BUY,14
0x17cd6d50,2,EVENT_NEW,49964.54,10,BUY_CANCEL,16
0x19c735bd,2,EVENT_NEW,50023.56,3,SELL_CANCEL,17
0x945d12e,2,EVENT_NEW,50022.47,9,SELL,21
0x708df0b,2,EVENT_NEW,49981.7,1,SELL,22
0x3a429757,2,EVENT_NEW,49982.94,9,SELL_CANCEL,24
0x9e5a0e0,2,EVENT_NEW,49976.58,10,BUY_CANCEL,26
0x157aead4,2,EVENT_NEW,49953.62,1,SELL_CANCEL,27
0x34bae7b4,2,EVENT_NEW,49987.22,10,SELL,28
0xab3f217,2,EVENT_NEW,50002.25,2,SELL_CANCEL,30
0x26ec1788,2,EVENT_NEW,50028.5,3,SELL,31
0x1037e4fd,2,EVENT_NEW,50010.42,5,BUY,32
0x185347e6,2,EVENT_NEW,49973.82,5,SELL,33
0x349936b6,2,EVENT_NEW,50005.49,7,SELL,34
0x3017f9b0,2,EVENT_NEW,49994.04,3,SELL_CANCEL,35
0x2dc6a20b,2,EVENT_NEW,50047.67,4,SELL,36
0xbd6eb5b,2,EVENT_NEW,49971.68,10,SELL,37
0x1f2f24c7,2,EVENT_NEW,49992.38,8,BUY_CANCEL,38
0x148ef670,2,EVENT_NEW,50016.72,6,SELL,40
0xc7ebc,2,EVENT_NEW,49979.04,8,BUY_CANCEL,41
0x25af1c30,2,EVENT_NEW,50043.83,1,SELL,44
0x257e3e06,2,EVENT_NEW,49980.62,7,BUY,46
0x1a98c714,2,EVENT_NEW,50034.4,5,SELL,47
0x3484a25f,2,EVENT_NEW,49985.51,4,BUY,48
0xc735663,2,EVENT_NEW,50026.84,6,BUY,49
0x3035d543,2,EVENT_NEW,50014.29,9,SELL_CANCEL,50
0xda32a22,2,EVENT_NEW,49968.51,10,SELL_CANCEL,51
0x1ec64437,2,EVENT_NEW,49952.38,8,SELL,52
0x23a83504,2,EVENT_NEW,49975.4,8,BUY,53
0x13f76e60,2,EVENT_NEW,49993.75,9,BUY,54
0x2c8b16ec,2,EVENT_NEW,49981.17,5,SELL_CANCEL,55
0x1be9cb16,2,EVENT_NEW,50020.49,8,BUY_CANCEL,56
0x32d49eb0,2,EVENT_NEW,49979.48,8,SELL,57
0x3727ff81,2,EVENT_NEW,49957.01,2,SELL,58
0x20028b3a,2,EVENT_NEW,50029.43,6,BUY,60
0x1f8e9246,2,EVENT_NEW,50036.95,3,SELL,61
0x1effce83,2,EVENT_NEW,49976.62,8,BUY_CANCEL,62
0x7c43172,2,EVENT_NEW,50009.54,8,SELL_CANCEL,63
0x29212cb,2,EVENT_NEW,49991.2,2,SELL,64
0x781f6a7,2,EVENT_NEW,50047.93,4,BUY,65
0x2bf5f358,2,EVENT_NEW,49961.36,2,BUY,68
0x1c8d5841,2,EVENT_NEW,49953.45,9,BUY,69
0x1ecb10c0,2,EVENT_NEW,49956.18,10,SELL,70
0x2baf6689,2,EVENT_NEW,49974.74,1,BUY,72
0x2351d011,2,EVENT_NEW,50025.33,3,BUY,73
0x2033ab44,2,EVENT_NEW,50013.83,7,BUY_CANCEL,74
0xa40e892,2,EVENT_NEW,50013.08,7,SELL_CANCEL,76
0x2a24dd1e,2,EVENT_NEW,50014.23,8,BUY,77
0x2f0e99cf,2,EVENT_NEW,50016.46,5,SELL,78
0x1d11ab1f,2,EVENT_NEW,49961.52,3,BUY,80
0x2b5935ef,2,EVENT_NEW,50003.89,2,BUY,81
0x2a5edc47,2,EVENT_NEW,50042.25,1,BUY,82
0x23ea82cd,2,EVENT_NEW,49986.53,4,BUY_CANCEL,83
0x19fc09ec,2,EVENT_NEW,49961.31,2,BUY,84
0x1d5ef72d,2,EVENT_NEW,49981.55,7,SELL,85
0xa24bc56,2,EVENT_NEW,49998.81,8,BUY,86
0x2f57a20,2,EVENT_NEW,49971.16,4,SELL,88
0x6d2e02,2,EVENT_NEW,49991.34,10,SELL,89
0xa761f19,2,EVENT_NEW,49972.72,6,BUY,90
0x392b7467,2,EVENT_NEW,50035.93,9,BUY,91
0x24e4db4b,2,EVENT_NEW,49971.43,10,SELL,92
0x2dba3794,2,EVENT_NEW,49961.31,3,SELL,94
0x2c59c19b,2,EVENT_NEW,50024.96,2,BUY,95
0x949ec6,2,EVENT_NEW,49971.06,4,SELL,97
0x2fee688f,3,EVENT_NEW,49950.05,2,SELL,0
0x1c5948f2,3,EVENT_NEW,50036.59,5,SELL_CANCEL,1
0x267827fe,3,EVENT_NEW,50035.35,7,SELL,3
0x313b7c28,3,EVENT_NEW,50026.35,2,BUY,4
0x1bb192fe,3,EVENT_NEW,50016.6,8,SELL,5
0x378e1b1f,3,EVENT_NEW,49957.67,9,BUY,6
0x110a9c90,3,EVENT_NEW,50025.0,5,BUY,7
0x1c4c2206,3,EVENT_NEW,49967.57,9,SELL,8
0x1c2359db,3,EVENT_NEW,49978.78,2,BUY,9
0x2b3a8434,3,EVENT_NEW,50038.6,2,SELL,10
0x7bcc35a,3,EVENT_NEW,49987.98,9,BUY_CANCEL,11
0x169f8b79,3,EVENT_NEW,50005.71,9,SELL,13
0x2e1c58f2,3,EVENT_NEW,49970.99,10,BUY,14
0x1efd281,3,EVENT_NEW,50013.28,1,BUY,15
0x38de58fa,3,EVENT_NEW,49976.06,8,SELL_CANCEL,16
0x2ebb2db9,3,EVENT_NEW,49992.54,8,SELL,19
0x13ce7826,3,EVENT_NEW,50025.69,2,BUY,21
0x2e601bef,3,EVENT_NEW,49976.09,9,BUY,22
0x35fa35fd,3,EVENT_NEW,49991.64,4,BUY,24
0x240e8d68,3,EVENT_NEW,49988.46,1,SELL_CANCEL,26
0x121d6229,3,EVENT_NEW,50036.68,1,BUY,27
0x7ab5de7,3,EVENT_NEW,50009.89,8,SELL,28
0x3604d5bd,3,EVENT_NEW,49989.26,1,SELL,29
0x1114e684,3,EVENT_NEW,50006.9,10,SELL,33
0x4327bb8,3,EVENT_NEW,50008.33,2,BUY_CANCEL,34
0x132512d6,3,EVENT_NEW,50046.15,6,SELL,36
0xea7b71b,3,EVENT_NEW,49958.21,4,SELL,37
0xfcf27c8,3,EVENT_NEW,50033.93,9,SELL,38
0x32bf49e2,3,EVENT_NEW,49976.14,6,SELL_CANCEL,39
0x1289e8f1,3,EVENT_NEW,49980.15,5,BUY,40
0x2f7759ae,3,EVENT_NEW,49999.95,5,BUY_CANCEL,41
0x17522d8c,3,EVENT_NEW,49960.27,4,BUY,43
0x256804d9,3,EVENT_NEW,50002.86,2,BUY,46
0x33dc8ef4,3,EVENT_NEW,49965.81,9,SELL,48
0x1023c94c,3,EVENT_NEW,49968.61,8,BUY,49
0x270733ba,3,EVENT_NEW,50004.99,3,BUY_CANCEL,50
0x1e0e6ca9,3,EVENT_NEW,50041.92,3,SELL,51
0x38d87b5e,3,EVENT_NEW,49995.31,3,BUY,52
0x3178f492,3,EVENT_NEW,49984.94,9,SELL,53
0x1f8b33ef,3,EVENT_NEW,49956.63,10,BUY,54
0x2506a6f7,3,EVENT_NEW,49979.55,2,SELL,55
0x3943459f,3,EVENT_NEW,50015.22,1,BUY,56
0xd160b5,3,EVENT_NEW,49999.44,4,SELL,57
0x956d1c9,3,EVENT_NEW,50012.7,4,BUY,58
0x3398e7d6,3,EVENT_NEW,50018.9,7,SELL_CANCEL,59
0x15fdaad5,3,EVENT_NEW,50005.1,1,BUY,60
0x44c7530,3,EVENT_NEW,50036.54,3,BUY,61
0x7c15e82,3,EVENT_NEW,49973.18,5,BUY,62
0x1f11ea01,3,EVENT_NEW,49961.42,10,SELL_CANCEL,63
0x3a92c804,3,EVENT_NEW,49970.18,3,BUY,64
0x4d8087b,3,EVENT_NEW,49975.5,2,BUY,65
0x215af4fb,3,EVENT_NEW,50001.47,2,BUY,66
0x93c871a,3,EVENT_NEW,49977.47,9,SELL_CANCEL,67
0x314d0551,3,EVENT_NEW,49980.2,7,BUY_CANCEL,69
0x32e0aea7,3,EVENT_NEW,50007.47,4,SELL,70
0xdccb1b4,3,EVENT_NEW,50002.71,4,BUY,71
0x2f970ba2,3,EVENT_NEW,50048.42,8,BUY,72
0x1a505098,3,EVENT_NEW,49978.77,10,BUY_CANCEL,74
0x5e4f983,3,EVENT_NEW,50049.02,6,SELL,75
0xcdbf6dd,3,EVENT_NEW,50027.53,7,BUY,77
0x1d866f3e,3,EVENT_NEW,49969.18,10,BUY,78
0x25c0cd90,3,EVENT_NEW,50026.01,6,SELL,79
0xb00cdbe,3,EVENT_NEW,50032.59,8,SELL,81
0x34ced1da,3,EVENT_NEW,50030.21,2,SELL,82
0xa1267ba,3,EVENT_NEW,49998.71,6,BUY_CANCEL,83
0x7b9602a,3,EVENT_NEW,49950.25,10,SELL_CANCEL,84
0xf91432e,3,EVENT_NEW,50033.76,1,SELL,85
0xd05e5af,3,EVENT_NEW,50014.14,6,SELL,87
0x32d145e5,3,EVENT_NEW,49984.03,9,SELL,88
0x375af719,3,EVENT_NEW,50010.61,4,BUY,89
0xde4c812,3,EVENT_NEW,50022.75,3,SELL_CANCEL,90
0x3b247b69,3,EVENT_NEW,49953.78,7,SELL,91
0x3a7cedb4,3,EVENT_NEW,50002.39,3,SELL,92
0x3a978cfc,3,EVENT_NEW,49990.92,9,BUY,95
0x24fde09c,3,EVENT_NEW,50007.12,7,BUY,96
0x17b17faf,3,EVENT_NEW,50032.07,6,SELL,97
0x2dffdbee,3,EVENT_NEW,49955.57,3,BUY,98
0x21946baf,3,EVENT_NEW,50025.72,10,SELL,99
0x33912ba1,4,EVENT_NEW,49988.37,5,SELL,0
0x323cb50c,4,EVENT_NEW,50041.25,5,SELL,1
0x382a95ce,4,EVENT_NEW,50016.05,5,SELL,3
0x34b2f947,4,EVENT_NEW,49974.41,10,BUY,4
0x155c4805,4,EVENT_NEW,50042.82,8,BUY,5
0x138a70db,4,EVENT_NEW,50046.24,8,SELL,6
0x2a69ad78,4,EVENT_NEW,49994.29,5,BUY,8
0x365bdf05,4,EVENT_NEW,49962.44,1,BUY,10
0x246984e5,4,EVENT_NEW,49958.82,3,SELL,12
0x1b4c522b,4,EVENT_NEW,50048.96,1,BUY,14
0x3b1f5121,4,EVENT_NEW,50030.25,9,SELL,18
0x81dbb3f,4,EVENT_NEW,49950.62,6,BUY,19
0x18abf29d,4,EVENT_NEW,50024.89,4,SELL,20
0x34489849,4,EVENT_NEW,49977.6,7,SELL,21
0x37e194b5,4,EVENT_NEW,49976.93,3,BUY,22
0x32b85d74,4,EVENT_NEW,49971.24,5,BUY,23
0x167bdc8d,4,EVENT_NEW,49972.5,4,BUY,24
0xba834fd,4,EVENT_NEW,49952.1,4,BUY,25
0x250e59ec,4,EVENT_NEW,49963.28,9,SELL_CANCEL,26
0x196615e9,4,EVENT_NEW,49951.29,5,SELL,27
0xdfb1da3,4,EVENT_NEW,50044.62,7,SELL_CANCEL,28
0x275d42df,4,EVENT_NEW,50033.17,8,BUY,29
0x11361820,4,EVENT_NEW,50010.13,3,BUY_CANCEL,30
0x3588a0c0,4,EVENT_NEW,49995.32,4,BUY_CANCEL,31
0xb7a4e6,4,EVENT_NEW,50025.0,9,BUY,32
0x75d4ad6,4,EVENT_NEW,49972.2,3,SELL,33
0x1f418b24,4,EVENT_NEW,50028.78,9,BUY,34
0x2ffa0545,4,EVENT_NEW,49975.88,3,SELL_CANCEL,35
0x21078458,4,EVENT_NEW,50047.59,4,BUY,36
0x17686412,4,EVENT_NEW,50040.11,9,SELL_CANCEL,38
0x33eb8724,4,EVENT_NEW,49976.18,3,BUY,39
0x2b2ead5b,4,EVENT_NEW,49984.21,9,BUY_CANCEL,40
0x1e958796,4,EVENT_NEW,50007.03,2,BUY_CANCEL,41
0x299b56fe,4,EVENT_NEW,49999.74,5,BUY,43
0x19bf3109,4,EVENT_NEW,49957.6,9,SELL,44
0x19a64207,4,EVENT_NEW,49975.54,7,SELL,47
0xeb7cafe,4,EVENT_NEW,50022.3,2,BUY_CANCEL,50
0x38828666,4,EVENT_NEW,49970.22,3,BUY,52
0x2b2668d2,4,EVENT_NEW,50023.47,4,SELL,53
0x368b17e9,4,EVENT_NEW,50001.67,2,BUY,55
0x19c7276c,4,EVENT_NEW,49955.52,9,BUY,56
0x139ba890,4,EVENT_NEW,50027.05,10,SELL,57
0x192ef8e,4,EVENT_NEW,49981.67,8,SELL,59
0x3a15e0b,4,EVENT_NEW,49958.25,6,SELL,60
0x32708c2d,4,EVENT_NEW,49956.84,8,BUY,61
0x11bd00ec,4,EVENT_NEW,50024.24,1,SELL,64
0x35141505,4,EVENT_NEW,49958.81,5,SELL,65
0x7c17efa,4,EVENT_NEW,49956.19,7,BUY,67
0xc634cf,4,EVENT_NEW,49956.28,8,SELL,69
0x15f53f09,4,EVENT_NEW,50034.38,1,SELL,72
0x29cdf094,4,EVENT_NEW,50000.91,1,BUY,74
0x2a33a37a,4,EVENT_NEW,49979.7,1,BUY,75
0x5e743c1,4,EVENT_NEW,49962.38,5,BUY,78
0x6069bc6,4,EVENT_NEW,49991.47,6,BUY_CANCEL,79
0x36393236,4,EVENT_NEW,50017.56,5,SELL,81
0x21412336,4,EVENT_NEW,49957.29,9,BUY,82
0xf3e538a,4,EVENT_NEW,49969.91,1,SELL,83
0x1d7aa96a,4,EVENT_NEW,49978.81,3,BUY,84
0x712d0b5,4,EVENT_NEW,49954.77,1,SELL,85
0x1f4c519e,4,EVENT_NEW,49974.36,1,SELL,86
0x1db5621d,4,EVENT_NEW,49963.2,3,BUY,87
0x2dc776f4,4,EVENT_NEW,50015.69,2,SELL,88
0x2654a25e,4,EVENT_NEW,50024.49,1,BUY,89
0x108270f7,4,EVENT_NEW,49965.16,6,BUY,90
0x3a2e8889,4,EVENT_NEW,50028.29,6,BUY,91
0xe993e5b,4,EVENT_NEW,49963.07,10,BUY_CANCEL,92
0x3961b801,4,EVENT_NEW,49997.64,6,SELL,93
0x23a8d037,4,EVENT_NEW,49958.83,6,BUY,96
0x34139940,4,EVENT_NEW,49989.49,10,BUY,98
0xaca31cd,4,EVENT_NEW,50026.63,1,SELL,99
0x1f62fbbe,5,EVENT_NEW,49992.69,4,SELL,0
0xb9a28c4,5,EVENT_NEW,49952.42,4,BUY,1
0x1feae63e,5,EVENT_NEW,50035.25,3,SELL,2
0x2efa5591,5,EVENT_NEW,49999.91,5,SELL,3
0x23aa9af3,5,EVENT_NEW,50030.18,7,SELL,5
0x353ffd1f,5,EVENT_NEW,50029.28,2,BUY_CANCEL,6
0x150eb7e0,5,EVENT_NEW,50024.7,4,SELL,8
0x3793e324,5,EVENT_NEW,50000.71,4,BUY,9
0xb24162c,5,EVENT_NEW,49955.82,10,SELL_CANCEL,10
0x2838e153,5,EVENT_NEW,49969.3,3,BUY,11
0xa0c7c9e,5,EVENT_NEW,50024.69,8,BUY,12
0x1e3b7484,5,EVENT_NEW,50029.7,4,SELL,13
0x1e2fc040,5,EVENT_NEW,50025.89,2,BUY,15
0x12b49cc1,5,EVENT_NEW,49997.25,1,SELL_CANCEL,16
0x1dac98f7,5,EVENT_NEW,50003.44,9,BUY_CANCEL,17
0x606303f,5,EVENT_NEW,50034.61,7,BUY,18
0x325912e1,5,EVENT_NEW,50038.88,4,BUY,20
0x4e89631,5,EVENT_NEW,50044.3,2,SELL_CANCEL,22
0x62c95e1,5,EVENT_NEW,49958.44,8,BUY,23
0x1acacaac,5,EVENT_NEW,49966.55,5,SELL,24
0x2d0e3abd,5,EVENT_NEW,49951.8,2,SELL,25
0x39a2568f,5,EVENT_NEW,49968.19,9,SELL,26
0x149a0f6f,5,EVENT_NEW,49992.66,2,BUY,30
0xb81d5d7,5,EVENT_NEW,49962.01,4,BUY,32
0x2e7ad2fa,5,EVENT_NEW,49962.95,8,SELL,33
0x31433461,5,EVENT_NEW,49968.99,3,BUY,35
0x1fc9db60,5,EVENT_NEW,49975.97,7,SELL,36
0x56d1db4,5,EVENT_NEW,50029.14,1,SELL,37
0x4dd0cc5,5,EVENT_NEW,49993.31,3,BUY_CANCEL,38
0x1d67c831,5,EVENT_NEW,49954.88,2,BUY,40
0x15dcada6,5,EVENT_NEW,49988.18,10,BUY,41
0x1d7a172b,5,EVENT_NEW,50020.86,9,BUY,44
0x17c5754a,5,EVENT_NEW,49992.95,2,SELL_CANCEL,46
0x2dbaae76,5,EVENT_NEW,49985.17,6,SELL,47
0x33fe7c16,5,EVENT_NEW,50026.33,4,SELL,48
0x36a85884,5,EVENT_NEW,49962.65,10,BUY,50
0x1859dac0,5,EVENT_NEW,50032.59,6,BUY,51
0xf974c27,5,EVENT_NEW,49987.57,9,BUY,52
0x328075ad,5,EVENT_NEW,49975.77,5,BUY,54
0x47c4221,5,EVENT_NEW,50009.47,4,SELL_CANCEL,55
0x23806ef0,5,EVENT_NEW,50010.93,1,BUY,58
0x1f1d82d8,5,EVENT_NEW,50016.38,5,SELL,59
0x39a20ce6,5,EVENT_NEW,50018.01,9,SELL,60
0x19a4d85d,5,EVENT_NEW,50017.02,3,SELL,62
0x15b4f194,5,EVENT_NEW,49973.09,1,BUY_CANCEL,63
